emi,channel_key,month,days_in_data,days_with_any_event,daylight_minutes,daylight_coverage_strict,daylight_coverage_zoh
EMI01,DHI,2025-12,31,31,22581,0.868030645233,0.973827554138
EMI01,DHI,2026-01,31,31,22568,0.871277915633,0.948466855725
EMI01,DHI,2026-02,28,28,20332,0.871926027936,0.972604760968
EMI01,DHI,2026-03,31,31,22463,0.895517072519,0.980501268753
EMI01,DHI,2026-04,30,29,21694,0.795381211395,0.905734304416
EMI01,DHI,2026-05,31,24,22383,0.588348300049,0.699861502033
EMI01,DHI,2026-06,30,30,21648,0.290558019217,0.383638211382
EMI01,DNIcosZ,2025-12,31,31,22581,0.164341703202,0.311943669457
EMI01,DNIcosZ,2026-01,31,31,22568,0.237548741581,0.368486352357
EMI01,DNIcosZ,2026-02,28,19,20332,0.103777296872,0.150255754476
EMI01,DNIcosZ,2026-03,31,4,22463,0.000222588256244,0.00249298846993
EMI01,DNIcosZ,2026-04,30,0,21694,0,0
EMI01,DNIcosZ,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,DNIcosZ,2026-06,30,30,21648,0.00540465631929,0.0709072431633
EMI01,GHI,2025-12,31,31,22581,0.884017536867,0.97679465037
EMI01,GHI,2026-01,31,31,22568,0.857408720312,0.933844381425
EMI01,GHI,2026-02,28,28,20332,0.880631516821,0.97378516624
EMI01,GHI,2026-03,31,31,22463,0.906691002983,0.980501268753
EMI01,GHI,2026-04,30,26,21694,0.738453028487,0.812113948557
EMI01,GHI,2026-05,31,24,22383,0.378992985748,0.43734083903
EMI01,GHI,2026-06,30,30,21648,0.504388396157,0.662832594235
EMI01,POA,2025-12,31,31,22581,0.00677560781188,0.0977370355609
EMI01,POA,2026-01,31,27,22568,0.00611485288905,0.0837025877348
EMI01,POA,2026-02,28,0,20332,0,0
EMI01,POA,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI01,POA,2026-04,30,0,21694,0,0
EMI01,POA,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,POA,2026-06,30,30,21648,0.613451589061,0.671932742055
EMI01,RSI_01,2025-12,31,31,22581,0.137682122138,0.291129710819
EMI01,RSI_01,2026-01,31,27,22568,0.298697270471,0.504741226515
EMI01,RSI_01,2026-02,28,0,20332,0,0
EMI01,RSI_01,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI01,RSI_01,2026-04,30,0,21694,0,0
EMI01,RSI_01,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,RSI_01,2026-06,30,30,21648,0.00535846267554,0.0701681448633
EMI01,RSI_02,2025-12,31,31,22581,0.135955006421,0.287852619459
EMI01,RSI_02,2026-01,31,27,22568,0.296880538816,0.504829847572
EMI01,RSI_02,2026-02,28,0,20332,0,0
EMI01,RSI_02,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI01,RSI_02,2026-04,30,0,21694,0,0
EMI01,RSI_02,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,RSI_02,2026-06,30,30,21648,0.00535846267554,0.0701681448633
EMI01,RSI_03,2025-12,31,31,22581,0.134759310925,0.288339754661
EMI01,RSI_03,2026-01,31,27,22568,0.295772775611,0.503589152783
EMI01,RSI_03,2026-02,28,0,20332,0,0
EMI01,RSI_03,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI01,RSI_03,2026-04,30,0,21694,0,0
EMI01,RSI_03,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI01,RSI_03,2026-06,30,30,21648,0.00535846267554,0.0701681448633
EMI02,DHI,2025-12,31,31,22581,0.875647668394,0.977636065719
EMI02,DHI,2026-01,31,31,22568,0.901453385324,0.981389578164
EMI02,DHI,2026-02,28,24,20332,0.721424355695,0.806856187291
EMI02,DHI,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,DHI,2026-04,30,0,21694,0,0
EMI02,DHI,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,DHI,2026-06,30,30,21648,0.614698817443,0.674288617886
EMI02,DNIcosZ,2025-12,31,31,22581,0.247996102918,0.329967671937
EMI02,DNIcosZ,2026-01,31,21,22568,0.235244594116,0.287663948954
EMI02,DNIcosZ,2026-02,28,9,20332,0.0357072594924,0.113466456817
EMI02,DNIcosZ,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,DNIcosZ,2026-04,30,0,21694,0,0
EMI02,DNIcosZ,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,DNIcosZ,2026-06,30,30,21648,0.0211104951959,0.127171101256
EMI02,GHI,2025-12,31,31,22581,0.888711748815,0.976927505425
EMI02,GHI,2026-01,31,31,22568,0.912841191067,0.981611130805
EMI02,GHI,2026-02,28,24,20332,0.72850678733,0.807298839268
EMI02,GHI,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,GHI,2026-04,30,0,21694,0,0
EMI02,GHI,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,GHI,2026-06,30,30,21648,0.619271988174,0.675027716186
EMI02,POA,2025-12,31,31,22581,0.887206058191,0.976174660112
EMI02,POA,2026-01,31,31,22568,0.913904643743,0.981079404467
EMI02,POA,2026-02,28,24,20332,0.728113318906,0.806413535314
EMI02,POA,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,POA,2026-04,30,0,21694,0,0
EMI02,POA,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,POA,2026-06,30,30,21648,0.622228381375,0.675859201774
EMI02,RSI_01,2025-12,31,31,22581,0.347415969178,0.660643904167
EMI02,RSI_01,2026-01,31,31,22568,0.410138248848,0.731433888692
EMI02,RSI_01,2026-02,28,23,20332,0.300216407633,0.521345662011
EMI02,RSI_01,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,RSI_01,2026-04,30,0,21694,0,0
EMI02,RSI_01,2026-05,31,10,22383,0.00151900996292,0.0192110083546
EMI02,RSI_01,2026-06,30,30,21648,0.261640798226,0.464754249815
EMI02,RSI_02,2025-12,31,31,22581,0.339223240778,0.614321774944
EMI02,RSI_02,2026-01,31,31,22568,0.382399858206,0.695143566111
EMI02,RSI_02,2026-02,28,21,20332,0.254574070431,0.468965178044
EMI02,RSI_02,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI02,RSI_02,2026-04,30,0,21694,0,0
EMI02,RSI_02,2026-05,31,10,22383,0.00151900996292,0.0192110083546
