source_sheet,date,kind,start_time,restoration_time,equipment,panel,minute_lost
Outage & Limitation,2024-12-05,outage,18:24:00,18:54:00,,,0.0
Outage & Limitation,2024-12-28,limitation,06:00:00,18:00:00,STS 6,J11,
Outage & Limitation,2024-12-29,limitation,06:00:00,18:00:00,STS 2 and STS 6,"J03, J11",
Outage & Limitation,2024-12-30,limitation,06:00:00,18:00:00,STS 6,J11,
Outage & Limitation,2024-12-31,outage,08:12:00,08:26:00,OG1,J02-J04,14.0
Outage & Limitation,2024-12-31,outage,08:12:00,08:26:00,OG2,J02-J04,14.0
Outage & Limitation,2025-01-02,outage,11:30:00,17:40:00,"OG1, STS 1 - STS 5, Busbar 1 MV Switchgear",J02-J08,370.0
Outage & Limitation,2025-01-02,limitation,11:30:00,17:40:00,STS 1 - STS 5,"J02, J03, J07, J08",
Outage & Limitation,2025-01-02,outage,11:30:00,17:40:00,"OG2,  STS 1 - STS 5, Busbar 1 MV Switchgear",J03-J08,370.0
Outage & Limitation,2025-01-05,outage,06:20:00,07:10:00,OG1,J02,50.0
Outage & Limitation,2025-01-13,outage,14:13:00,00:21:00,OG4,J13,227.0
Outage & Limitation,2025-01-14,outage,10:12:00,11:26:00,"STS 1- 5, OG1","J02, J08, J04-PH",74.0
Outage & Limitation,2025-01-14,limitation,10:12:00,11:26:00,STS 1 - STS 5,"J02, J03, J07, J08",
Outage & Limitation,2025-01-14,outage,10:12:00,11:26:00,"STS 1- 5, OG2","J03, J08, J04-PH",74.0
Outage & Limitation,2025-01-16,outage,17:06:00,20:54:00,OG4,J13,54.0
Outage & Limitation,2025-01-16,limitation,11:55:00,20:54:00,STS 6 - STS 10,"J10, J11, J12",
Outage & Limitation,2025-01-23,outage,12:04:00,13:46:00,"OG1, Busbar 1 Powerhouse","J02, J03, J04",102.0
Outage & Limitation,2025-01-23,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-23,outage,13:02:00,18:00:00,OG2,J03,298.0
Outage & Limitation,2025-01-24,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-24,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-25,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-25,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-26,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-26,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-27,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-27,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-28,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-28,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-28,outage,15:15:00,17:55:00,OG1,J02,160.0
Outage & Limitation,2025-01-29,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-29,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-01-29,outage,14:07:00,15:00:00,OG3,J14,53.0
Outage & Limitation,2025-01-30,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-30,limitation,06:00:00,18:00:00,STS 3 - STS 10,"J07, J08, J10, J11, J12",
Outage & Limitation,2025-01-30,outage,12:12:00,18:00:00,OG4,J13,348.0
Outage & Limitation,2025-01-31,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-01-31,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-01,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-01,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-02,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-02,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-03,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-03,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-03,outage,10:44:00,14:08:00,OG3,J14,204.0
Outage & Limitation,2025-02-03,outage,10:44:00,14:08:00,OG4,J13,204.0
Outage & Limitation,2025-02-04,limitation,06:00:00,18:00:00,STS 3 - STS 10,"J07, J08, J10, J11, J12",
Outage & Limitation,2025-02-04,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-04,outage,10:39:00,22:07:00,OG1 & OG2,"J02, J03",441.0
Outage & Limitation,2025-02-04,outage,10:39:00,22:07:00,OG4,J13,441.0
Outage & Limitation,2025-02-05,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-05,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-06,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-06,limitation,06:00:00,18:00:00,"STS 3, STS 4, STS 5, STS 6, STS 7, STS 8, and STS 10","J07, J08, J10, J11, J12",
Outage & Limitation,2025-02-06,outage,10:43:00,20:10:00,OG3,J14,437.0
Outage & Limitation,2025-02-06,outage,10:43:00,20:10:00,OG5,J11,437.0
Outage & Limitation,2025-02-07,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-07,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
Outage & Limitation,2025-02-08,outage,06:00:00,18:00:00,OG2,J03,720.0
Outage & Limitation,2025-02-08,limitation,06:00:00,18:00:00,"STS 3, STS 4, and STS 5","J07, J08",
