source_sheet,date,maintenance_type,area,equipment,trouble_description,action,start_time,stop_time,status,is_weather_station
Nopember 2024,2024-11-05,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal shutdown and normal start,18:00:00,00:00:00,Close,False
Nopember 2024,2024-11-06,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal shutdown and normal start,18:00:00,00:00:00,Close,False
Nopember 2024,2024-11-07,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal shutdown and normal start,18:00:00,00:00:00,Close,False
Nopember 2024,2024-11-08,Corrective,Powerhouse,MV Switchgear,Trip on Incoming 1 dan Incoming 2 caused by ZTPI,"Close MCB bus VT,  Reset alarm relay, Normal shutdown and normal start",15:00:00,00:00:00,Close,False
Nopember 2024,2024-11-09,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal shutdown and normal start,18:00:00,00:00:00,Close,False
Nopember 2024,2024-11-13,Preventive,Powerhouse + Gardu Induk,MV Switchgear,Shutdown system from sisi PLTS and GI,Shutdown system,18:00:00,00:00:00,Close,False
Nopember 2024,2024-11-14,Preventive,Powerhouse + Gardu Induk,MV Switchgear,Shutdown incoming dari PLTS (no production),"Incoming PLTS Shutdown, supply voltage from GI Start",00:00:00,06:00:00,Close,False
Nopember 2024,2024-11-14,Corrective,Road Area,PJU Solar Cell,2 PJUs  broken caused by ZTPI cable digging,"1 PJU was successfully restored to normal, while the other was badly damaged and needed replacement",15:00:00,18:00:00,Open,False
Nopember 2024,2024-11-14,Preventive,Powerhouse,MV Switchgear,Work on PLTS incoming is done,Close Incoming from PLTS,18:00:00,22:00:00,Close,False
Nopember 2024,2024-11-17,Corrective,Powerhouse,MV Switchgear,"Auto Reclose at L.1&2 Petung - Kariangau, Trip in J04, J03 dan J02 at powerhouse",Normal start at MV Switchgear,13:21:00,13:57:00,Close,False
Nopember 2024,2024-11-18,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal start at MV Switchgear,17:04:00,20:18:00,Close,False
Nopember 2024,2024-11-20,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal start at MV Switchgear,18:00:00,02:00:00,Close,False
Nopember 2024,2024-11-21,Preventive,Powerhouse,MV Switchgear,System shutdown on MV Switchgear due to PLN work,Normal start at MV Switchgear,18:00:00,21:00:00,Close,False
Nopember 2024,2024-11-22,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,13:00:00,14:00:00,,False
Nopember 2024,2024-11-22,Preventive,Powerhouse,MV Switchgear,Supervising SCADA integration with STS,Normal starting MV Switchgear with new SCADA,18:00:00,1900-01-01 00:00:00,Close,False
Nopember 2024,2024-11-23,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,07:00:00,08:00:00,Close,False
Nopember 2024,2024-11-24,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,07:00:00,08:00:00,Close,False
Nopember 2024,2024-11-24,Preventive,Powerhouse,MV Switchgear,System shutdown due to work on MV Switchgear,Normal start at MV Switchgear,18:00:00,23:00:00,Close,False
Nopember 2024,2024-11-25,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,07:00:00,08:00:00,Close,False
Nopember 2024,2024-11-25,Preventive,Powerhouse,STS 4,Energize STS 4,Operating MV Switchgear and STS 4,18:00:00,21:00:00,Close,False
Nopember 2024,2024-11-26,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,07:00:00,08:00:00,Close,False
Nopember 2024,2024-11-26,Preventive,Powerhouse,STS 4,Energize STS 4,Operating MV Switchgear and STS 4,18:00:00,19:00:00,Close,False
Nopember 2024,2024-11-27,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,07:00:00,08:00:00,Close,False
Nopember 2024,2024-11-27,Preventive,Powerhouse,STS 3 & STS 5,Energize STS 3 & STS 5,"Operating MV Switchgear, STS 3 and STS 4",10:00:00,14:00:00,Close,False
Desember 2024,2024-12-01,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-11-02,Preventive,Powerhouse,"STS 3, STS 4, STS 5",Internal Outage,Normal Shutdown and Start,19:52:00,20:54:00,Close,False
Desember 2024,2024-12-02,Preventive,PV Module,PV Table,Mowing,Mowing to cut the plants that impact to shading,09:00:00,16:00:00,Close,False
Desember 2024,2024-12-03,Preventive,Powerhouse,"All STS, All MV Switchgears",Internal Outage,Normal Start,20:20:00,23:20:00,Close,False
