emi,channel_key,start_date,end_date,n_days
EMI01,DHI,2026-05-14,2026-05-20,7
EMI01,DNIcosZ,2026-02-19,2026-02-25,7
EMI01,DNIcosZ,2026-02-27,2026-03-02,4
EMI01,DNIcosZ,2026-03-04,2026-03-12,9
EMI01,DNIcosZ,2026-03-16,2026-05-20,66
EMI01,GHI,2026-04-13,2026-04-16,4
EMI01,GHI,2026-05-14,2026-05-20,7
EMI01,POA,2026-01-28,2026-03-12,44
EMI01,POA,2026-03-14,2026-05-20,68
EMI01,RSI_01,2026-01-28,2026-03-12,44
EMI01,RSI_01,2026-03-14,2026-05-20,68
EMI01,RSI_02,2026-01-28,2026-03-12,44
EMI01,RSI_02,2026-03-14,2026-05-20,68
EMI01,RSI_03,2026-01-28,2026-03-12,44
EMI01,RSI_03,2026-03-14,2026-05-20,68
EMI02,DHI,2026-02-25,2026-03-12,16
EMI02,DHI,2026-03-14,2026-05-20,68
EMI02,DNIcosZ,2026-01-22,2026-02-01,11
EMI02,DNIcosZ,2026-02-04,2026-02-06,3
EMI02,DNIcosZ,2026-02-08,2026-02-15,8
EMI02,DNIcosZ,2026-02-24,2026-03-12,17
EMI02,DNIcosZ,2026-03-14,2026-05-20,68
EMI02,GHI,2026-02-25,2026-03-12,16
EMI02,GHI,2026-03-14,2026-05-20,68
EMI02,POA,2026-02-25,2026-03-12,16
EMI02,POA,2026-03-14,2026-05-20,68
EMI02,RSI_01,2026-02-24,2026-03-12,17
EMI02,RSI_01,2026-03-14,2026-05-20,68
EMI02,RSI_02,2026-02-24,2026-03-12,17
EMI02,RSI_02,2026-03-14,2026-05-20,68
EMI02,RSI_03,2026-02-24,2026-03-12,17
EMI02,RSI_03,2026-03-14,2026-05-20,68
EMI03,DNIcosZ,2025-12-01,2025-12-04,4
EMI03,DNIcosZ,2025-12-06,2026-02-14,71
EMI03,DNIcosZ,2026-02-16,2026-02-20,5
EMI03,DNIcosZ,2026-02-24,2026-03-03,8
EMI03,DNIcosZ,2026-03-07,2026-03-12,6
EMI03,DNIcosZ,2026-03-18,2026-04-06,20
EMI03,DNIcosZ,2026-04-08,2026-04-11,4
EMI03,DNIcosZ,2026-04-13,2026-05-01,19
EMI03,DNIcosZ,2026-05-05,2026-05-16,12
EMI03,DNIcosZ,2026-05-18,2026-05-20,3
EMI03,POA,2025-12-01,2026-03-12,102
EMI03,POA,2026-03-14,2026-05-20,68
EMI03,RSI_01,2025-12-01,2026-03-12,102
EMI03,RSI_01,2026-03-14,2026-05-20,68
EMI03,RSI_02,2025-12-01,2026-03-12,102
EMI03,RSI_02,2026-03-14,2026-05-20,68
EMI03,RSI_03,2025-12-01,2026-03-12,102
EMI03,RSI_03,2026-03-14,2026-05-20,68
EMI04,DNIcosZ,2026-01-04,2026-01-06,3
EMI04,DNIcosZ,2026-01-09,2026-01-11,3
EMI04,DNIcosZ,2026-01-30,2026-02-02,4
EMI04,POA,2026-01-06,2026-03-12,66
EMI04,POA,2026-03-14,2026-05-20,68
EMI04,POA,2026-05-23,2026-06-30,39
EMI04,RSI_01,2025-12-02,2026-03-12,101
EMI04,RSI_01,2026-03-14,2026-05-20,68
EMI04,RSI_01,2026-05-23,2026-06-30,39
EMI04,RSI_02,2026-01-06,2026-03-12,66
EMI04,RSI_02,2026-03-14,2026-05-20,68
EMI04,RSI_02,2026-05-23,2026-06-30,39
EMI05,GHI,2025-12-01,2025-12-23,23
